X-position, Y-position, theta, phi, mua, mus, mua, mus, mua, mus, mua, mus, muaLUT, musLUT, muaLUT, musLUT, muaLUT, musLUT, muaLUT, musLUT
681.58, 59.88, -2.0260, 0.1060, 0.0152, 0.6288, 0.0147, 0.6066, 0.0129, 0.5772, 0.0114, 0.5771, 0.0098, 0.3004, 0.0154, 0.5840, 0.0148, 0.5065, 0.0104, 0.6262
670.64, 116.70, -2.1970, 0.0640, 0.0156, 0.6179, 0.0150, 0.5971, 0.0128, 0.5791, 0.0116, 0.5708, 0.0098, 0.2794, 0.0131, 0.6658, 0.0085, 0.4368, 0.0103, 0.6277
667.53, 133.77, -1.9660, 0.0790, 0.0154, 0.6254, 0.0151, 0.5943, 0.0130, 0.5690, 0.0118, 0.5640, 0.0088, 0.2318, 0.0124, 0.6220, 0.0133, 0.3158, 0.0118, 0.5650
670.21, 159.90, -2.2590, 0.0530, 0.0154, 0.6273, 0.0153, 0.5879, 0.0129, 0.5785, 0.0115, 0.5789, 0.0162, 0.5666, 0.0174, 0.5180, 0.0122, 0.6046, 0.0103, 0.6300
669.34, 211.78, -2.1220, 0.0390, 0.0151, 0.6414, 0.0148, 0.6090, 0.0129, 0.5822, 0.0116, 0.5815, 0.0136, 0.3439, 0.0134, 0.6648, 0.0129, 0.5803, 0.0119, 0.5625
656.20, 249.41, -2.6930, 0.0490, 0.0150, 0.6424, 0.0150, 0.6032, 0.0129, 0.5810, 0.0113, 0.5906, 0.0111, 0.3778, 0.0173, 0.5171, 0.0066, 0.2938, 0.0081, 0.3835
643.28, 270.72, -2.5960, 0.0420, 0.0153, 0.6378, 0.0149, 0.6109, 0.0128, 0.5910, 0.0116, 0.5824, 0.0162, 0.6166, 0.0136, 0.6605, 0.0143, 0.5367, 0.0120, 0.5693
624.79, 301.86, -2.7750, 0.0570, 0.0154, 0.6338, 0.0151, 0.6069, 0.0127, 0.5965, 0.0116, 0.5823, 0.0153, 0.6442, 0.0140, 0.6463, 0.0132, 0.5734, 0.0133, 0.5091
616.40, 327.05, -2.6670, 0.0610, 0.0155, 0.6307, 0.0150, 0.6075, 0.0131, 0.5767, 0.0116, 0.5811, 0.0154, 0.6357, 0.0121, 0.3088, 0.0125, 0.6008, 0.0104, 0.6360
614.59, 360.94, -2.8190, 0.0570, 0.0154, 0.6319, 0.0150, 0.6059, 0.0129, 0.5808, 0.0115, 0.5840, 0.0151, 0.6422, 0.0149, 0.6098, 0.0114, 0.5733, 0.0134, 0.5064
